2016-09-01 13:51:40,315 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.weekfiveproject:weekfiveproject:1.0 @ C:\Users\admin\WeekFiveProject\weekfiveproject\pom.xml.
2016-09-01 13:51:41,590 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /weekfiveproject/src/main/java
2016-09-01 13:51:41,591 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /weekfiveproject/src/main/resources
2016-09-01 13:51:41,591 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /weekfiveproject/src/test/java
2016-09-01 13:51:44,017 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 6 sec
2016-09-01 13:51:45,398 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 13:51:45,429 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-01 13:51:45,432 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 13:51:45,437 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-01 13:51:46,599 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 13:51:46,604 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-01 13:51:46,605 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 13:51:46,609 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-01 15:40:00,543 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 15:40:00,547 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-01 15:40:00,549 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 15:40:00,554 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-01 15:42:03,646 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 15:42:03,651 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-01 15:42:03,652 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-01 15:42:03,658 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-02 14:14:53,244 [Worker-202] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:14:53,969 [Worker-202] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-02 14:14:54,032 [Worker-202] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:14:54,145 [Worker-202] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-02 14:16:43,792 [Worker-211] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:16:43,877 [Worker-211] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-02 14:16:43,881 [Worker-211] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:16:43,887 [Worker-211] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-02 14:17:32,087 [Worker-209] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:17:32,091 [Worker-209] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-02 14:17:32,092 [Worker-209] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:17:32,098 [Worker-209] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-02 14:23:01,577 [Worker-222] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:23:01,583 [Worker-222] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-02 14:23:01,587 [Worker-222] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:23:01,592 [Worker-222] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-02 14:23:17,156 [Worker-222] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:23:17,160 [Worker-222] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-02 14:23:17,161 [Worker-222] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:23:17,166 [Worker-222] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\WeekFiveProject\weekfiveproject\src\test\resources
2016-09-02 14:44:19,114 [Worker-231] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-02 14:44:19,120 [Worker-231] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-02 14:44:19,123 [Worker-231] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
